id,tweet_id,engagement,effective_length,polarity,subjectivity,average_engagement,common_words,common_ht_words,common_hts
426146744,1130297139802910000,656,37,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1129079516377350000,746,168,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1128069736519150000,40,43,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1125568347561700000,116,29,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1122665187713120000,0,0,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1119979681174960000,1131,34,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1116155561052180000,2219,30,1.0000,1.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1112805810323710000,37,127,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1109652087485480000,866,35,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1107078238533230000,112,126,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1107074819768620000,44,70,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1107074091692030000,116,203,0.2000,0.3833,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1106714907238710000,189,88,-0.2500,0.5500,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
