id,tweet_id,engagement,effective_length,polarity,subjectivity
426146744.0,1.14285e+18,42,125,0.6,0.8
426146744.0,1.14257e+18,1441,62,0.0,0.0
426146744.0,1.14149e+18,611,20,0.2,0.4
426146744.0,1.14142e+18,16,184,0.3666666666666667,0.5
426146744.0,1.14113e+18,180,261,-0.6,0.9
426146744.0,1.14e+18,39,45,0.3,0.2
426146744.0,1.13898e+18,16,126,0.4166666666666667,0.6166666666666667
426146744.0,1.13811e+18,61,89,0.0,0.0
426146744.0,1.13569e+18,20,183,-0.14583333333333331,0.875
426146744.0,1.13091e+18,14,148,0.3833333333333333,0.6
426146744.0,1.1303e+18,656,37,0.0,0.0
426146744.0,1.12908e+18,746,168,0.0,0.0
426146744.0,1.12807e+18,40,43,0.0,0.0
426146744.0,1.12557e+18,116,29,0.0,0.0
426146744.0,1.12267e+18,0,0,0.0,0.0
426146744.0,1.11998e+18,1131,34,0.0,0.0
426146744.0,1.11616e+18,2219,30,1.0,1.0
426146744.0,1.11281e+18,37,127,0.0,0.0
426146744.0,1.10965e+18,866,35,0.0,0.0
426146744.0,1.10708e+18,112,126,0.0,0.0
426146744.0,1.10707e+18,44,70,0.0,0.0
426146744.0,1.10707e+18,116,203,0.2,0.38333333333333336
426146744.0,1.10671e+18,189,88,-0.25,0.55
426146744.0,1.1059e+18,1,0,0.0,0.0
426146744.0,1.10198e+18,1984,109,0.4,0.9
426146744.0,1.0991e+18,1142,63,0.0,0.0
426146744.0,1.09841e+18,936,93,0.0,0.0
426146744.0,1.08736e+18,28,53,0.0,0.0
162926902.0,1.18019e+18,0,106,0.0,0.0
162926902.0,1.18017e+18,178,131,0.7000000000000001,0.5666666666666668
162926902.0,1.17988e+18,58,185,0.17454545454545456,0.4
162926902.0,1.17985e+18,0,146,0.2,0.35
162926902.0,1.17942e+18,127,112,-0.1,0.3
162926902.0,1.17911e+18,73,233,-0.02121212121212122,0.3666666666666667
162926902.0,1.17882e+18,126,61,0.2833333333333333,0.5166666666666667
162926902.0,1.17881e+18,0,87,0.0,0.0
162926902.0,1.17838e+18,2,250,0.2,0.3333333333333333
162926902.0,1.17764e+18,0,250,0.125,0.3333333333333333
162926902.0,1.17764e+18,0,250,0.125,0.3333333333333333
162926902.0,1.17762e+18,61,140,0.1,0.1
162926902.0,1.17761e+18,103,79,0.06818181818181818,0.25
162926902.0,1.17741e+18,0,250,0.125,0.3333333333333333
162926902.0,1.17739e+18,0,56,0.0,0.0
162926902.0,1.17732e+18,0,250,0.125,0.3333333333333333
162926902.0,1.17732e+18,0,250,0.125,0.3333333333333333
162926902.0,1.17724e+18,0,157,0.0,0.0
162926902.0,1.17703e+18,1,246,0.0,0.1111111111111111
162926902.0,1.177e+18,0,97,0.3333333333333333,0.5
162926902.0,1.17698e+18,1,250,0.125,0.3333333333333333
162926902.0,1.17698e+18,266,131,0.0,0.0
162926902.0,1.17698e+18,1,250,0.125,0.3333333333333333
162926902.0,1.17696e+18,0,250,0.125,0.3333333333333333
162926902.0,1.17695e+18,1,250,0.125,0.3333333333333333
162926902.0,1.17695e+18,0,250,0.125,0.3333333333333333
162926902.0,1.17695e+18,5,250,0.125,0.3333333333333333
162926902.0,1.17695e+18,0,250,0.125,0.3333333333333333
162926902.0,1.17695e+18,0,250,0.125,0.3333333333333333
162926902.0,1.17695e+18,2,250,0.125,0.3333333333333333
162926902.0,1.17695e+18,2,250,0.125,0.3333333333333333
162926902.0,1.17695e+18,0,250,0.125,0.3333333333333333
162926902.0,1.17688e+18,41,107,0.16666666666666666,0.3333333333333333
162926902.0,1.17688e+18,0,212,0.2,0.2
167435593.0,1.18029e+18,362,187,0.27142857142857146,0.3839285714285714
167435593.0,1.18028e+18,53,185,0.0,0.15833333333333333
167435593.0,1.18026e+18,60,205,0.5428571428571429,0.46785714285714286
167435593.0,1.18025e+18,46,190,0.19285714285714284,0.5678571428571428
167435593.0,1.18024e+18,13,224,0.0,0.0
167435593.0,1.18023e+18,107,95,0.0,0.0
167435593.0,1.18022e+18,19,147,-0.15555555555555559,0.2888888888888889
167435593.0,1.18022e+18,28,133,1.0,0.3
167435593.0,1.18021e+18,1253,202,0.6000000000000001,0.95
167435593.0,1.18021e+18,13,172,0.19285714285714284,0.46785714285714286
167435593.0,1.18021e+18,12,75,0.03968253968253968,0.3674603174603175
167435593.0,1.18019e+18,123,106,0.0,0.0
167435593.0,1.18017e+18,18,254,-0.4,0.4
167435593.0,1.18016e+18,238,280,-0.15,0.1
167435593.0,1.18016e+18,6,86,0.14285714285714285,0.46785714285714286
167435593.0,1.18015e+18,39,100,0.0,0.0
167435593.0,1.18013e+18,45,201,0.425,0.625
167435593.0,1.17996e+18,888,109,0.0,0.0
167435593.0,1.17995e+18,13,114,0.2857142857142857,0.5357142857142857
