id,katz,betweenness,authority,screen_name,followers,friends,verified,created_at,listed,tipo,average_engagement,common_words,common_ht_words,common_hts
426146744.0,1.5809820549604745,0.0006678773996402737,2.941033997817208e-05,SteevenOrozco,655637,476,False,2011,842,opinion,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
162926902.0,3.4614327579829083,0.005760293987988947,0.00045606395826838065,VivaAirCol,210761,30037,False,2010,475,empresa,30.823529411764707,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
167435593.0,4.891714767087336,0.003584744557080932,0.0003690771985054447,Dimayor,1314384,147,True,2010,1308,competencia,176.3312101910828,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
269039712.0,1.3755699319900936,0.00019285427582758382,2.2594532859114787e-05,cecorrehumor,156975,392,False,2011,183,entretenimiento,18.0873786407767,"[('gracias', 33), ('abrazo', 17), ('amigo', 14)]","[('feliz', 6), ('martes', 3), ('tbt', 2)]","[('FelizMartes', 3), ('felizcumpleañosbogotá', 1), ('ElChisteDelDíaDeCorredor', 1)]"
62561348.0,2.050953057897916,0.0005485989407984416,0.00014097355757090757,ReddsColombia,25319,2517,True,2009,62,empresa,1.0666666666666667,"[('amarguras', 58), ('perreo', 23), ('comparte', 22)]","[('amarguras', 57), ('menores', 1), ('cerveza', 1)]","[('SinAmarguras', 57), ('MenoresSinCerveza', 1)]"
246089111.0,2.1516866334740645,0.0008300256786109322,0.0001232946117661113,cuervocarolina,134722,1366,False,2011,262,entretenimiento,7.402597402597403,"[('…', 25), ('gracias', 17), ('vida', 12)]","[('repost', 6), ('críaun', 6), ('cuervo', 6)]","[('TBT', 16), ('Repost', 6), ('CríaunCuervo', 6)]"
8.1e+17,1.0,0.0,0.0,Zuanna_Sol,213897,764,False,2016,747,entretenimiento,0.0,[],[],[]
8.1e+17,1.0,0.0,0.0,cnncolombia,17107,20,True,2016,91,noticias,0.0,[],[],[]
83766201.0,1.5503632314648577,0.0009118075505888735,6.620087435007216e-06,Jhonmarin,40458,503,False,2009,57,entretenimiento,0.30973451327433627,"[('show', 59), ('moda', 50), ('repost', 38)]","[('show', 50), ('moda', 46), ('repost', 19)]","[('ShowDeModa', 44), ('Repost', 19), ('teamwork', 18)]"
7.22e+17,1.0,0.0,0.0,letour_col,38955,132,True,2016,149,competencia,0.0,[],[],[]
7.22e+17,1.0,0.0,0.0,anielli69,151939,942,False,2016,464,entretenimiento,0.0,[],[],[]
172822388.0,6.017734850803925,0.003093131077814683,0.0004593941800038744,valeriasantosb,68929,1392,False,2010,110,opinion,179.16129032258064,"[('vídeo', 14), ('vale', 12), ('amazonas', 8)]","[('vale', 12), ('cauca', 2), ('cumbre', 2)]","[('MásVale', 11), ('CumbrePorLaAmazonía', 2), ('QuiénPagaPorElAmazonas', 2)]"
497511506.0,3.8363768168102177,0.0016689742755609232,0.00048435740792126034,AlcaldiadeMed,655788,13359,False,2012,717,politica,21.808383233532933,"[('medellín', 145), ('camino', 130), ('vos', 33)]","[('medellín', 130), ('camino', 130), ('vos', 31)]","[('MedellínVamosPorBuenCamino', 130), ('ConVosRadio', 19), ('FedericoCuentaConVos', 12)]"
34814904.0,3.084586454358236,0.0021040444904441647,0.0004155960452974647,JuanLuisCasCo,30062,7311,False,2009,108,politica,36.60666666666667,"[('salud', 59), ('colombia', 37), ('congreso', 24)]","[('colombia', 14), ('salud', 14), ('verde', 10)]","[('LaSaludDeColombiaEs', 11), ('ElVerdeRindeCuentas', 10), ('ConversacionesPorElPaís', 4)]"
883034568.0,2.063743248962596,0.0006525532020621053,0.00018998407378217132,NotiCartagena,66273,27808,False,2012,385,noticias,13.025641025641026,"[('cartagena', 51), ('feria', 21), ('cultural', 21)]","[('cartagena', 29), ('cultura', 12), ('cartagenaemprendecultura', 7)]","[('cartagenaemprendecultura', 7), ('CartagenaEmprendeCultura', 6), ('Cartagena', 6)]"
572963902.0,1.1301833765196807,5.6179505909786535e-05,2.0971327271989185e-05,PAISEXTREMO,35343,9786,False,2012,102,empresa,0.45098039215686275,"[('whats', 51), ('app', 51), ('reservas', 28)]","[('extremo', 7), ('san', 7), ('suesca', 6)]","[('Suesca', 6), ('SanGil', 5), ('DeportesExtremos', 5)]"
175210651.0,2.238515282217997,0.0007336811953065202,0.00012356767607229064,susy_mora,100020,349,False,2010,219,opinion,7.753846153846154,"[('…', 32), ('•', 23), ('radio', 16)]","[('radio', 15), ('city', 15), ('lima', 8)]","[('RadioCityTV', 9), ('ALimaConTitanium', 8), ('RadioCity', 5)]"
146986073.0,1.5569946499682423,0.00030407430692821444,7.90381304424631e-05,RadioPlaneta969,61851,879,False,2010,165,radio,4.857142857142857,"[('planeta', 27), ('gol', 18), ('cali', 14)]","[('planeta', 20), ('gol', 18), ('fecha', 9)]","[('PlanetaGol', 18), ('LigaAguila', 8), ('TuneIn', 7)]"
1.16e+18,1.0,0.0,0.0,babydahianna,120515,4,False,2019,166,entretenimiento,0.0,[],[],[]
782076.0,3.0109537717169053,0.0007649840971894435,0.00020330085590996097,Caidadelatorre,77081,299,True,2007,505,opinion,117.14893617021276,"[('uribe', 24), ('colombia', 10), ('mujeres', 7)]","[('uribe', 16), ('colombia', 4), ('hora', 3)]","[('UribeNoEsColombia', 4), ('UribeHoraCero', 3), ('UribeAnteLaCorte', 3)]"
405056247.0,1.8205198737403236,0.00040980525965482234,7.936505320346892e-05,Giohernandez10,26435,233,False,2011,71,deporte,15.533333333333333,"[('twitter', 4), ('plus', 4), ('instalaron', 3)]","[('sisepuede', 1)]","[('FF', 1), ('SISEPUEDE', 1), ('TODOS', 1)]"
