source,target
17813487,14050583
14050583,15930883
15930883,240822201
240822201,100583387
100583387,385498066
100583387,345214995
100583387,615721665
100583387,15404821
100583387,195820318
100583387,478892632
100583387,124492052
100583387,281262004
100583387,194168803
100583387,381725074
100583387,631580827
100583387,3502348457
100583387,300815030
100583387,155428489
100583387,570274533
100583387,133112225
100583387,497511506
100583387,867140092686741504
100583387,493284558
100583387,544643751
100583387,231112057
100583387,58645164
100583387,1324417764
100583387,39863994
100583387,132095257
100583387,211679970
100583387,150058141
100583387,50579061
100583387,189534765
100583387,48859739
240822201,132095257
132095257,87884321
132095257,19236074
132095257,150816279
132095257,208044752
132095257,319431547
132095257,495001592
132095257,187937279
132095257,233195976
132095257,247816345
132095257,59824929
132095257,52558480
132095257,178563034
132095257,67141324
132095257,274848290
132095257,16620291
132095257,77779432
132095257,20980846
132095257,179285561
132095257,214092652
132095257,15695712
132095257,152010594
132095257,498046179
132095257,66571267
132095257,127911892
132095257,384497640
132095257,234064422
132095257,150058141
132095257,116917364
132095257,114766106
132095257,578675373
240822201,211679970
211679970,132095257
211679970,415631655
211679970,321793335
211679970,547337652
211679970,79009306
211679970,160324833
211679970,178563034
211679970,16578268
211679970,358887972
211679970,161280980
211679970,274324302
211679970,148526885
211679970,171273754
211679970,77625278
211679970,940065434
211679970,349274330
211679970,233001872
211679970,275628019
211679970,199318492
211679970,161084107
211679970,314824095
211679970,578770890
211679970,167900487
211679970,621310805
211679970,350462935
211679970,492646531
211679970,234064422
211679970,152394247
211679970,252134272
211679970,195899776
240822201,2363288942
2363288942,2549501367
2363288942,2374322006
2363288942,711790155531735040
2363288942,990316385925550081
2363288942,770378969153671169
2363288942,206402786
2363288942,47858163
2363288942,628002248
2363288942,937171166392979456
2363288942,38670671
2363288942,965722694267359232
2363288942,42172973
2363288942,1050603855489032192
2363288942,156678710
2363288942,56385497
2363288942,156679445
2363288942,1072185262669746179
2363288942,631580827
2363288942,216724312
2363288942,20980846
2363288942,964304025373106176
2363288942,102769344
2363288942,174049509
2363288942,973022412886376455
2363288942,114577790
2363288942,98717917
2363288942,89572355
2363288942,151100867
2363288942,240822201
2363288942,956896881635979270
240822201,518918764
518918764,42172973
518918764,22386555
518918764,30861738
518918764,259713560
518918764,36087400
518918764,38533136
518918764,372868087
518918764,745370515372650496
518918764,165748292
518918764,933739074401251328
518918764,59976153
518918764,1103658673312878592
518918764,722851538293501954
518918764,114577790
518918764,130552714
518918764,732690384942465025
518918764,1001127206930862081
518918764,142968962
518918764,136112883
518918764,3376511
518918764,150327476
518918764,1301761278
518918764,124355265
518918764,242730842
518918764,61097151
518918764,36276135
518918764,151921927
518918764,244659783
518918764,58956408
518918764,154000683
240822201,397366316
397366316,1001127206930862081
397366316,143549947
397366316,42517526
397366316,175806207
397366316,348784800
397366316,487709592
397366316,89707185
397366316,381725074
397366316,732690384942465025
397366316,39955069
397366316,1667809860
397366316,40098182
